pole_id,x_center,x_start,x_end,length_ft
1,1770934.792,1770719.0025,1771150.5814999999,431.5789999999106
2,1771366.371,1771150.5814999999,1771577.0325,426.45100000011735
3,1771787.694,1771577.0325,1771996.793,419.76050000009127
4,1772205.892,1771996.793,1772454.0945000001,457.3015000000596
5,1772702.297,1772454.0945000001,1772922.0435000001,467.94900000002235
6,1773141.79,1772922.0435000001,1773368.2540000002,446.2105000000447
7,1773594.718,1773368.2540000002,1773831.0410000002,462.7870000000112
8,1774067.364,1773831.0410000002,1774260.7445,429.70349999982864
9,1774454.125,1774260.7445,1774680.2025000001,419.4580000001006
10,1774906.28,1774680.2025000001,1775133.5785,453.3759999999311
11,1775360.877,1775133.5785,1775606.316,472.73750000004657
12,1775851.755,1775606.316,1776103.1735,496.8574999999255
13,1776354.592,1776103.1735,1776565.165,461.9915000000037
14,1776775.738,1776565.165,1776963.0795,397.9144999999553
15,1777150.421,1776963.0795,1777320.9155000001,357.83600000012666
16,1777491.41,1777320.9155000001,1777652.3505,331.43499999982305
17,1777813.291,1777652.3505,1777991.9780000001,339.62750000017695
18,1778170.665,1777991.9780000001,1778344.6685000001,352.6905000000261
19,1778518.672,1778344.6685000001,1778712.3665,367.69799999985844
20,1778906.061,1778712.3665,1779097.7425000002,385.3760000001639
21,1779289.424,1779097.7425000002,1779518.1715000002,420.4290000000037
22,1779746.919,1779518.1715000002,1779914.622,396.45049999980256
23,1780082.325,1779914.622,1780257.5185,342.89650000003166
24,1780432.712,1780257.5185,1780588.6245,331.10599999991246
25,1780744.537,1780588.6245,1780906.3535,317.7290000000503
26,1781068.17,1780906.3535,1781294.1855,387.83199999993667
27,1781520.201,1781294.1855,1781661.5685,367.38300000014715
28,1781802.936,1781661.5685,1782008.0935,346.52499999990687
29,1782213.251,1782008.0935,1782404.6365,396.54300000006333
30,1782596.022,1782404.6365,1782754.681,350.04450000007637
31,1782913.34,1782754.681,1783098.827,344.1459999999497
32,1783284.314,1783098.827,1783473.7295,374.902499999851
33,1783663.145,1783473.7295,1783853.387,379.6575000002049
34,1784043.629,1783853.387,1784209.859,356.4719999998342
35,1784376.089,1784209.859,1784492.5085,282.64950000005774
36,1784608.928,1784492.5085,1784754.2625000002,261.75400000019
37,1784899.597,1784754.2625000002,1785059.52,305.25749999983236
38,1785219.443,1785059.52,1785424.2829999998,364.76299999980256
39,1785629.123,1785424.2829999998,1785809.8645,385.58150000008754
40,1785990.606,1785809.8645,1787114.058,1304.1935000000522
46,1788237.51,1787114.058,1788408.0945000001,1294.036500000162
47,1788578.679,1788408.0945000001,1788758.3495,350.25499999988824
48,1788938.02,1788758.3495,1789117.6905,359.3410000000149
