time_bin,1,2,3,4,5,6,7
0.0,139.0,149.0,150.0,123.0,97.0,113.0,110.0
60.0,145.0,146.0,142.0,115.0,102.0,116.0,108.0
120.0,125.0,138.0,135.0,113.0,116.0,126.0,115.0
180.0,105.0,132.0,130.0,115.0,106.0,129.0,110.0
240.0,124.0,134.0,128.0,92.0,91.0,122.0,107.0
300.0,133.0,138.0,127.0,102.0,73.0,114.0,112.0
360.0,139.0,141.0,146.0,92.0,89.0,113.0,106.0
420.0,137.0,150.0,138.0,104.0,98.0,117.0,111.0
480.0,141.0,153.0,149.0,115.0,115.0,126.0,114.0
540.0,134.0,136.0,141.0,105.0,98.0,121.0,119.0
600.0,139.0,145.0,157.0,123.0,120.0,125.0,125.0
660.0,158.0,164.0,167.0,127.0,125.0,143.0,134.0
720.0,141.0,160.0,167.0,127.0,122.0,129.0,115.0
780.0,135.0,148.0,136.0,118.0,107.0,125.0,121.0
840.0,136.0,139.0,146.0,103.0,102.0,125.0,125.0
900.0,157.0,152.0,144.0,116.0,90.0,98.0,111.0
960.0,123.0,143.0,144.0,122.0,112.0,129.0,124.0
1020.0,123.0,137.0,141.0,111.0,106.0,125.0,119.0
1080.0,121.0,149.0,127.0,100.0,94.0,119.0,111.0
1140.0,122.0,145.0,117.0,104.0,96.0,114.0,101.0
1200.0,134.0,138.0,138.0,114.0,94.0,101.0,108.0
1260.0,140.0,142.0,148.0,102.0,97.0,104.0,117.0
1320.0,130.0,136.0,147.0,113.0,108.0,121.0,106.0
1380.0,141.0,149.0,147.0,114.0,112.0,124.0,114.0
1440.0,133.0,150.0,150.0,115.0,123.0,144.0,128.0
1500.0,128.0,135.0,126.0,131.0,127.0,134.0,124.0
1560.0,130.0,160.0,143.0,122.0,106.0,120.0,112.0
1620.0,140.0,144.0,141.0,99.0,105.0,125.0,118.0
1680.0,133.0,136.0,137.0,108.0,95.0,122.0,117.0
1740.0,117.0,154.0,141.0,111.0,107.0,117.0,113.0
1800.0,132.0,134.0,128.0,108.0,101.0,110.0,105.0
1860.0,132.0,135.0,140.0,113.0,95.0,102.0,99.0
1920.0,123.0,142.0,142.0,108.0,88.0,102.0,101.0
1980.0,132.0,147.0,125.0,99.0,106.0,124.0,111.0
2040.0,125.0,124.0,137.0,97.0,94.0,108.0,107.0
2100.0,137.0,133.0,144.0,107.0,103.0,123.0,96.0
2160.0,128.0,128.0,144.0,103.0,96.0,110.0,94.0
2220.0,117.0,142.0,130.0,103.0,101.0,121.0,107.0
2280.0,99.0,121.0,132.0,101.0,88.0,107.0,105.0
2340.0,107.0,130.0,127.0,90.0,85.0,109.0,106.0
2400.0,121.0,126.0,131.0,99.0,92.0,116.0,102.0
2460.0,130.0,145.0,135.0,80.0,79.0,106.0,107.0
2520.0,130.0,132.0,135.0,101.0,82.0,100.0,107.0
2580.0,127.0,136.0,131.0,105.0,104.0,124.0,106.0
2640.0,142.0,150.0,150.0,124.0,114.0,114.0,104.0
2700.0,147.0,153.0,153.0,107.0,108.0,120.0,117.0
2760.0,127.0,138.0,139.0,106.0,110.0,128.0,121.0
2820.0,118.0,127.0,117.0,106.0,100.0,114.0,112.0
2880.0,116.0,125.0,102.0,91.0,80.0,125.0,106.0
2940.0,112.0,125.0,130.0,90.0,67.0,107.0,86.0
3000.0,126.0,135.0,134.0,111.0,92.0,126.0,104.0
3060.0,127.0,143.0,147.0,114.0,106.0,126.0,112.0
3120.0,115.0,132.0,136.0,104.0,110.0,123.0,113.0
3180.0,117.0,132.0,117.0,100.0,86.0,104.0,98.0
3240.0,118.0,132.0,124.0,108.0,85.0,103.0,87.0
3300.0,136.0,140.0,150.0,102.0,88.0,107.0,90.0
3360.0,144.0,142.0,140.0,104.0,95.0,119.0,113.0
3420.0,139.0,142.0,137.0,107.0,111.0,123.0,120.0
3480.0,133.0,148.0,144.0,120.0,112.0,129.0,115.0
3540.0,144.0,156.0,140.0,115.0,116.0,125.0,106.0
average,130.06666666666666,140.63333333333333,138.18333333333334,107.98333333333333,100.45,118.26666666666667,110.2
